"Study","D1","D2","D3","D4","D5","Overall"
"Abbasimehr 2022","Low","Low","Low","Low","Low","Low"
"Abdallah 2022","Low","Low","No information","Low","Low","Low"
"Ahouz 2021","Low","Low","Low","Low","Low","Low"
"Alali 2022","Low","Low","No information","Low","Low","Low"
"Alamrouni 2022","Low","Low","No information","Low","Low","Low"
"Alassafi 2022","Low","Low","Low","Low","Low","Low"
"Ahouz 2021","Low","Low","Low","Low","Low","Low"
"Amaral 2021","Low","Low","Low","Low","Low","Low"
"Barraza 2021","Low","Low","Low","Low","Low","Low"
"Basu 2020","Low","Low","Low","Low","Low","Low"
"Bedi 2021","Low","Low","Low","Low","Low","Low"
"Bi 2022","Low","Low","No information","Low","Low","Low"
"Bushira 2021","Low","Low","No information","Low","Low","Low"
"Casini 2020","Low","Low","Low","Low","Low","Low"
"Chandra 2022","Low","Low","No information","Low","Low","Low"
"Chyon 2022","Low","Low","No information","Low","Low","Low"
"de Araujo Morais 2022","Low","Low","No information","Low","Low","Low"
"Doornik 2022","Low","Low","Low","Low","Low","Low"
"Fang 2022","Low","Low","Low","Low","Low","Low"
"Garetto 2021","Low","Low","Low","Low","Low","Low"
"Giacopelli 2021","Low","Low","Low","Low","Low","Low"
"Haghighat 2021","Low","Low","Low","Low","Low","Low"
"Kolozvári 2021","Low","Low","Low","Low","Low","Low"
"Kou 2021","Low","Low","Low","Low","Low","Low"
"Kuo 2021","Low","Low","No information","High","Low","High"
"Majhi 2020","Low","Low","Low","Some concerns","Low","Some concerns"
"Malakar 2021","Low","Low","Low","Low","Low","Low"
"Mallick 2022","Low","Low","No information","Low","Low","Low"
"Marzouk 2021","Low","Low","Low","Low","Low","Low"
"Mohan 2021","Low","Low","Some concerns","Some concerns","Low","Some concerns"
"Namasudra 2021","Low","Low","Low","Low","Low","Low"
"Nobi 2021","Low","Low","No information","Low","Low","Low"
"Ohi 2020","Low","Low","No information","Some concerns","Low","Some concerns"
"Ozik 2021","Low","Some concerns","No information","Some concerns","Some concerns","Some concerns"
"Pan 2021","Low","Low","No information","Some concerns","High","High"
"Pang 2021","Low","Low","No information","High","Low","High"
"Pourghasemi 2020","Low","Low","Low","Low","Low","Low"
"Raheja 2020","Low","Low","Some concerns","Low","Low","Some concerns"
"Rashed 2021","Low","Low","No information","Low","Low","Low"
"Sah 2022","Low","Low","No information","Low","Low","Low"
"Shoaib 2021","Low","Low","No information","Low","High","High"
"Swaraj 2021","Low","Low","Low","Low","Low","Low"
"Ullah 2022","Low","Low","No information","Low","Low","Low"
"Vasconcelos 2021","Low","Low","Low","Some concerns","Low","Some concerns"
"Zivkovic 2021","Low","Some concerns","Low","Low","High","High"
